reviewer_name,reviewer_rating,review_title,review_text,place_of_review,date_of_review,upvotes,downvotes
Sumit  Kumar,5,Wonderful,I think In this price category it's best dosa tawa. I tried it and it turned out to be great. Thanks Flipkart!READ MORE,"Certified Buyer, Lakhisarai","Aug, 2021",216,216
BHARAT GALAGALI,5,Mind-blowing purchase,perfect tawa for Dosa..READ MORE,"Certified Buyer, Hunsur","May, 2021",111,111
Virendra  Kumar,5,Great product,Nice 🙂 productREAD MORE,"Certified Buyer, Chengalpattu District","Jun, 2022",80,80
Yojana Tamang,5,Fabulous!,Wow nice product thank you FlipkartREAD MORE,"Certified Buyer, Mirik","Apr, 2021",96,96
Paramjeet Singh,5,Awesome,Excellent tawa. Made Paneer Tikka on first dayREAD MORE,"Certified Buyer, Rampura Phul","Sep, 2021",59,59
jyoti solanki,5,Best in the market!,Delivery man is also good....READ MORE,"Certified Buyer, Mumbai","Jul, 2021",54,54
Priya Das,5,Terrific,Nice 👌👌READ MORE,"Certified Buyer, Dhemaji","Apr, 2022",27,27
Shareef Tirur,5,Terrific,Value for money product.. Thanx.. Let me write more details after a month.. Now am satisfied with this product..READ MORE,"Certified Buyer, Malappuram","May, 2021",219,219
Flipkart Customer,5,Wonderful,"Nice product, induction compatible, must buy.READ MORE","Certified Buyer, Gangoh","Mar, 2022",119,119
Suresh .R R,5,Classy product,Nice an good condition recive dREAD MORE,"Certified Buyer, Tiruppur","Jun, 2021",21,21
Abhijit sardar,5,Worth every penny,The best tawa for regular use available in such a cheap price in flipkart. The world's best and cheapest tawa. Go for it you will never get disappointed😄😃😃READ MORE,"Certified Buyer, Kolkata","Oct, 2021",284,284
B.Raja sekhar B.Raja sekhar,5,Terrific,Nice colour..... And nice productREAD MORE,"Certified Buyer, Mandapeta","Jul, 2021",57,57
Subrajit  Padhan,5,Just wow!,No 1 quality productsREAD MORE,"Certified Buyer, Kalahandi District","Jan, 2022",104,104
shivam singh,5,Just wow!,Good productREAD MORE,"Certified Buyer, Jashpur District","Jun, 2021",68,68
Flipkart Customer,5,Terrific,Nice product and value of money item was too good I'll prefer this only and it can use only dosa purpose onlyREAD MORE,"Certified Buyer, Mantralayam","Apr, 2022",22,22
Sudheep Deepu,5,Excellent,good one... as expected.. its my second purchase of this tawa.. its really nice now our family and grand parents family are using thisREAD MORE,"Certified Buyer, Nellore","Dec, 2019",378,378
Muthuraja MG,3,Good,Value for moneyREAD MORE,"Certified Buyer, Andipatti Jakkampatti","Dec, 2021",73,73
Ashutosh Anand,5,Worth every penny,Smarty productREAD MORE,"Certified Buyer, Dumka","Nov, 2020",23,23
Papu  Ruidas,4,Very Good,nice 🙂 mastersREAD MORE,"Certified Buyer, Asansol","Feb, 2022",12,12
Flipkart Customer,4,Pretty good,Good quality👍🏻👍🏻👍🏻👍🏻READ MORE,"Certified Buyer, Maur","Aug, 2022",11,11
Kathiresan PoorniKamal ,4,Very Good,Good ok for the priceREAD MORE,"Certified Buyer, Madurai",3 months ago,7,7
Ramniwas  Saini,5,Classy product,This sis best product  big pan I am use product best expression..READ MORE,"Certified Buyer, Karauli","Sep, 2020",63,63
Flipkart Customer,5,Classy product,Nice product super Its 26cm Tnx FlipkartREAD MORE,"Certified Buyer, Nedumangad","Jun, 2021",16,16
Flipkart Customer,5,Fabulous!,Good 😍💯READ MORE,"Certified Buyer, Kavali","Feb, 2022",7,7
Claret Fernandes,4,Very Good,Good productREAD MORE,"Certified Buyer, Mandrem","Nov, 2021",9,9
Pramila s,5,Mind-blowing purchase,Nice 👍READ MORE,"Certified Buyer, Navi Mumbai","May, 2021",5,5
Bishakha Chowdhury,,Expected a better product,"I am writing this review after 3 day usage. The back coating is coming off little. The non stick coating is also getting off very little from the sides. For the price the quality could have been better. Price and quality should go hand in hand. I do not recommend this tawa for people eating dosa every other day, this tawa will not be able to take sustain its quality over time. It is good for people who eat dosa once in a week or once in two weeks..READ MORE","Certified Buyer, Lumding","Jul, 2021",269,269
Flipkart Customer,4,Very Good,GoodREAD MORE,"Certified Buyer, New Delhi","Oct, 2021",15,15
Flipkart Customer,5,Fabulous!,SuperREAD MORE,"Certified Buyer, Mysuru","Oct, 2021",12,12
Revati  Dharmarakshak,4,Good quality product,It's really good.Size is amazing.Can be used on both induction as well as on gas.It's non sticky but the colour fades away quickly.Otherwise overall product is good. U can go for it.👍🏻READ MORE,"Certified Buyer, Aurangabad","Jul, 2022",6,6
Shàrmilà Rìyàs,5,Highly recommended,It's really good and induction based....also fast delivery tnq flipcart.... 💞😍READ MORE,"Certified Buyer, Pudukkottai District","Jan, 2022",9,9
Flipkart Customer,5,Excellent,I am satisfied with the product it is non sticky I am very  happy 😊😊😊😊☺☺☺☺READ MORE,"Certified Buyer, Dehradun","Sep, 2020",10,10
Nuraddin Ali,5,Highly recommended,Nice Tawa👌READ MORE,"Certified Buyer, Cuncolim","Oct, 2022",5,5
Flipkart Customer,5,Fabulous!,Nice productREAD MORE,"Certified Buyer, Karauli District","Jul, 2020",15,15
Flipkart Customer,,Slightly disappointed,Back colour coating gone for just using two days. Don't buy .waste of moneyREAD MORE,"Certified Buyer, Ysr District","Jan, 2022",24,24
Alok Mishra,,Absolute rubbish!,"I am changing rating from 5 to 1 star. Backside coating getting removed in few days, they claim to be induction based but its not. We bought it for induction but its not working on any induction, wasted money.READ MORE","Certified Buyer, Bengaluru","Dec, 2020",32,32
Moni Pal,5,Classy product,Very well dosa tawaREAD MORE,"Certified Buyer, Unnao District","Jun, 2021",12,12
Flipkart Customer,,Worthless,Very bad productREAD MORE,"Certified Buyer, Panachikkad","Mar, 2022",7,7
Namitha Vipparthi,5,Great product,Super product 👌👌very strong tqq soo much flipkart😊😊😊READ MORE,"Certified Buyer, Palacole","Oct, 2020",7,7
Shahzad Alam,5,Super!,Good product for the induction cooking also Quality is ExcellentREAD MORE,"Certified Buyer, Barauli","Nov, 2022",3,3
Khushbu Shaikh,5,Super!,Very nice product 🥰READ MORE,"Certified Buyer, New Delhi","Aug, 2022",4,4
VIMALKUMAR NAGARAJ ,5,Wonderful,Good product.  AmazingREAD MORE,"Certified Buyer, Bhavanisagar","Mar, 2022",3,3
Ajit  Singh,5,Wonderful,It's the best but bottom surface isn't flat properly when we use on induction it  movesREAD MORE,"Certified Buyer, Bhojpur District","Dec, 2021",4,4
Flipkart Customer,5,Mind-blowing purchase,GoodREAD MORE,"Certified Buyer, Nirmal District","Sep, 2021",2,2
bithika  datta,3,Just okay,"Not soo good quality,but ok in priceREAD MORE","Certified Buyer, Chandpur North Twenty Four Parganas District","Jul, 2020",23,23
Vaishali Karande,5,Mind-blowing purchase,Best product and best serviceREAD MORE,"Certified Buyer, Satara District","Feb, 2022",13,13
Flipkart Customer,,Very poor,"Handle is loose, screws doesnt fit in the holes.READ MORE","Certified Buyer, Ranga Reddy","Oct, 2021",8,8
Flipkart Customer,5,Just wow!,Very niceREAD MORE,"Certified Buyer, Nashik","May, 2021",8,8
Flipkart Customer,5,Terrific purchase,"Very nice product , quality satisfied, easy to use.READ MORE","Certified Buyer, Ranchi","Sep, 2020",4,4
Pankaj  Dubey ,,Absolute rubbish!,This tawa is not working on induction ..Plz Don't buy ...READ MORE,"Certified Buyer, Jaunpur District","Jan, 2022",6,6
Salma Sultana,4,Delightful,It's really goodREAD MORE,"Certified Buyer, Uttar Dinajpur District","Sep, 2020",2,2
